PERMNO;HdrCUSIP;Ticker;PERMCO;DlyCalDt;DlyRet
28310;90478470;UN;21803;22-8-2012;-0.007783
28310;90478470;UN;21803;23-8-2012;-0.000581
28310;90478470;UN;21803;24-8-2012;0.007558
28310;90478470;UN;21803;27-8-2012;0.003174
28310;90478470;UN;21803;28-8-2012;0.000288
28310;90478470;UN;21803;29-8-2012;-0.000575
28310;90478470;UN;21803;30-8-2012;-0.004891
28310;90478470;UN;21803;31-8-2012;0.005493
28310;90478470;UN;21803;4-9-2012;0.003738
28310;90478470;UN;21803;5-9-2012;0.000573
28310;90478470;UN;21803;6-9-2012;0.021185
28310;90478470;UN;21803;7-9-2012;-0.004205
28310;90478470;UN;21803;10-9-2012;-0.016047
28310;90478470;UN;21803;11-9-2012;0.012017
28310;90478470;UN;21803;12-9-2012;-0.005372
28310;90478470;UN;21803;13-9-2012;0.009949
28310;90478470;UN;21803;14-9-2012;0.007599
28310;90478470;UN;21803;17-9-2012;0.002235
28310;90478470;UN;21803;18-9-2012;0.006132
28310;90478470;UN;21803;19-9-2012;0.006925
28310;90478470;UN;21803;20-9-2012;-0.0011
28310;90478470;UN;21803;21-9-2012;-0.002754
28310;90478470;UN;21803;24-9-2012;-0.001657
28310;90478470;UN;21803;25-9-2012;-0.003873
28310;90478470;UN;21803;26-9-2012;-0.004166
28310;90478470;UN;21803;27-9-2012;0.003904
28310;90478470;UN;21803;28-9-2012;-0.014444
28310;90478470;UN;21803;1-10-2012;0.006483
28310;90478470;UN;21803;2-10-2012;0.00112
28310;90478470;UN;21803;3-10-2012;0.001399
28310;90478470;UN;21803;4-10-2012;0.011732
28310;90478470;UN;21803;5-10-2012;0.009387
28310;90478470;UN;21803;8-10-2012;-0.003009
28310;90478470;UN;21803;9-10-2012;-0.017833
28310;90478470;UN;21803;10-10-2012;-0.001397
28310;90478470;UN;21803;11-10-2012;0.007552
28310;90478470;UN;21803;12-10-2012;0.004997
28310;90478470;UN;21803;15-10-2012;0.009116
28310;90478470;UN;21803;16-10-2012;0.01533
28310;90478470;UN;21803;17-10-2012;0.00701
28310;90478470;UN;21803;18-10-2012;-0.002945
28310;90478470;UN;21803;19-10-2012;-0.016112
28310;90478470;UN;21803;22-10-2012;-0.004367
28310;90478470;UN;21803;23-10-2012;-0.020833
28310;90478470;UN;21803;24-10-2012;-0.0014
28310;90478470;UN;21803;25-10-2012;0.028315
28310;90478470;UN;21803;26-10-2012;-0.000818
28310;90478470;UN;21803;31-10-2012;0.001091
28310;90478470;UN;21803;1-11-2012;0.003271
28310;90478470;UN;21803;2-11-2012;-0.006248
28310;90478470;UN;21803;5-11-2012;-0.001914
28310;90478470;UN;21803;6-11-2012;0.009586
28310;90478470;UN;21803;7-11-2012;-0.011161
28310;90478470;UN;21803;8-11-2012;-0.003317
28310;90478470;UN;21803;9-11-2012;-0.003882
28310;90478470;UN;21803;12-11-2012;0.00167
28310;90478470;UN;21803;13-11-2012;0.007226
28310;90478470;UN;21803;14-11-2012;-0.006623
28310;90478470;UN;21803;15-11-2012;-0.005
28310;90478470;UN;21803;16-11-2012;-0.0067
28310;90478470;UN;21803;19-11-2012;0.016301
28310;90478470;UN;21803;20-11-2012;0.00719
28310;90478470;UN;21803;21-11-2012;0
28310;90478470;UN;21803;23-11-2012;0.020868
28310;90478470;UN;21803;26-11-2012;0.001345
28310;90478470;UN;21803;27-11-2012;0.002149
28310;90478470;UN;21803;28-11-2012;0.010989
28310;90478470;UN;21803;29-11-2012;0.007688
28310;90478470;UN;21803;30-11-2012;-0.004736
28310;90478470;UN;21803;3-12-2012;0.003965
28310;90478470;UN;21803;4-12-2012;0.005003
28310;90478470;UN;21803;5-12-2012;0.001048
28310;90478470;UN;21803;6-12-2012;-0.009945
28310;90478470;UN;21803;7-12-2012;0.007402
